Date,Open,High,Low,Close,Volume
11/10/2021,"49.36","50.07","48.51","48.78","134,949"
11/09/2021,"50.05","50.79","49.40","49.49","197,065"
11/08/2021,"49.37","50.64","49.06","49.87","175,134"
11/05/2021,"48.97","50.11","48.91","49.00","192,630"
11/04/2021,"48.39","48.72","48.01","48.44","71,088"
11/03/2021,"48.37","49.11","48.22","48.30","83,150"
11/02/2021,"50.78","50.78","48.48","48.62","152,309"
11/01/2021,"51.51","52.00","49.59","50.78","177,559"
10/29/2021,"50.87","52.44","50.50","51.45","198,543"
10/28/2021,"45.70","50.67","45.70","50.22","308,954"
10/27/2021,"43.93","44.46","43.78","43.96","93,058"
10/26/2021,"43.99","44.74","43.74","44.37","79,694"
10/25/2021,"44.54","44.96","43.38","43.97","105,250"
10/22/2021,"44.40","44.88","43.91","44.23","110,901"
10/21/2021,"44.15","44.54","44.08","44.24","91,094"
10/20/2021,"43.95","44.63","43.81","43.99","39,599"
10/19/2021,"45.28","45.28","44.05","44.15","43,228"
10/18/2021,"44.15","45.31","44.00","45.02","111,114"
10/15/2021,"45.61","45.63","44.16","44.16","110,532"
10/14/2021,"45.56","45.98","44.85","44.95","81,035"
10/13/2021,"45.81","45.92","45.17","45.25","27,874"
10/12/2021,"45.78","46.05","45.21","45.62","143,858"
10/11/2021,"45.66","46.15","45.39","45.57","32,224"
10/08/2021,"45.73","45.97","45.40","45.66","32,063"
10/07/2021,"45.39","45.96","45.28","45.67","46,323"
10/06/2021,"44.53","45.31","44.15","45.17","69,528"
10/05/2021,"44.67","45.55","43.87","45.02","131,898"
10/04/2021,"45.15","45.15","44.45","44.64","75,209"
10/01/2021,"44.91","45.41","44.29","45.16","84,520"
09/30/2021,"44.98","45.86","44.48","44.59","168,770"
09/29/2021,"44.60","45.07","44.13","44.78","179,671"
09/28/2021,"45.04","45.29","44.41","44.47","128,005"
09/27/2021,"44.25","45.33","44.25","44.95","151,871"
09/24/2021,"43.76","44.72","43.50","44.20","144,338"
09/23/2021,"43.60","44.17","43.50","43.90","168,438"
09/22/2021,"42.86","43.96","42.45","43.42","180,636"
09/21/2021,"45.00","45.25","42.56","42.65","256,552"
09/20/2021,"44.97","45.96","44.63","44.91","216,935"
09/17/2021,"46.12","46.20","45.45","45.76","281,544"
09/16/2021,"45.70","46.18","45.59","46.00","171,853"
09/15/2021,"45.02","45.70","45.02","45.27","136,043"
09/14/2021,"45.50","45.53","45.01","45.17","164,735"
09/13/2021,"46.10","46.23","45.30","45.58","147,961"
09/10/2021,"46.37","46.44","45.77","46.10","109,522"
09/09/2021,"46.64","47.84","46.30","46.30","174,374"
09/08/2021,"46.47","47.14","46.40","46.61","126,534"
09/07/2021,"48.03","48.08","46.29","46.71","136,719"
09/03/2021,"48.45","48.52","47.50","48.23","139,748"
09/02/2021,"47.64","48.61","47.58","48.18","206,053"
09/01/2021,"46.17","47.68","45.94","47.20","211,539"
08/31/2021,"45.20","46.50","44.89","46.23","179,503"
08/30/2021,"45.67","45.83","45.10","45.29","230,004"
08/27/2021,"44.84","45.89","44.84","45.40","208,721"
08/26/2021,"43.54","45.59","43.54","44.78","261,466"
08/25/2021,"42.53","44.12","42.53","43.54","167,360"
08/24/2021,"41.30","42.58","41.30","42.37","152,869"
08/23/2021,"40.26","41.71","40.20","41.33","115,005"
08/20/2021,"39.27","40.17","39.08","40.11","181,312"
08/19/2021,"39.37","39.59","39.09","39.30","102,155"
08/18/2021,"38.86","40.83","38.71","39.47","125,613"
08/17/2021,"39.40","39.68","38.75","38.94","118,218"
08/16/2021,"38.83","40.02","38.83","39.48","106,100"
08/13/2021,"39.45","39.92","38.68","38.87","108,113"
08/12/2021,"38.91","39.88","38.86","39.48","262,545"
08/11/2021,"38.05","38.76","37.81","38.70","66,704"
08/10/2021,"37.27","37.99","37.27","37.92","76,044"
08/09/2021,"37.04","37.47","36.76","37.26","54,145"
08/06/2021,"36.77","37.33","36.73","37.01","69,109"
08/05/2021,"37.06","37.20","36.58","36.60","55,357"
08/04/2021,"36.88","37.31","36.65","36.93","64,107"
08/03/2021,"36.86","37.21","36.39","36.99","88,469"
08/02/2021,"37.49","37.69","36.63","36.73","63,021"
07/30/2021,"36.87","37.50","36.83","37.18","87,705"
07/29/2021,"36.70","37.86","36.51","37.15","116,686"
07/28/2021,"36.92","37.18","35.18","36.25","121,888"
07/27/2021,"36.25","36.54","35.89","36.50","46,380"
07/26/2021,"36.05","36.58","36.05","36.54","102,616"
07/23/2021,"35.73","35.94","35.24","35.84","36,654"
07/22/2021,"35.84","35.84","35.36","35.50","29,601"
07/21/2021,"36.26","36.64","35.85","35.95","87,051"
07/20/2021,"35.37","36.37","35.17","35.90","78,405"
07/19/2021,"34.51","35.14","34.10","35.08","109,405"
07/16/2021,"35.53","35.69","34.98","34.98","41,019"
07/15/2021,"34.90","35.60","34.80","35.24","82,853"
07/14/2021,"35.56","35.56","35.07","35.18","104,917"
07/13/2021,"35.43","35.72","35.05","35.33","48,551"
07/12/2021,"34.72","35.94","34.63","35.75","114,498"
07/09/2021,"34.95","35.13","34.70","34.83","43,165"
07/08/2021,"34.66","35.22","34.17","34.61","76,225"
07/07/2021,"35.70","35.83","35.19","35.30","85,696"
07/06/2021,"36.75","36.75","35.64","35.78","53,743"
07/02/2021,"36.80","36.80","36.25","36.62","65,250"
07/01/2021,"37.07","37.27","36.50","36.57","133,440"
06/30/2021,"36.60","37.37","36.53","36.97","79,735"
06/29/2021,"36.84","37.24","36.71","36.78","96,491"
06/28/2021,"36.67","36.91","36.05","36.87","114,680"
06/25/2021,"37.15","37.62","36.80","36.80","345,846"
06/24/2021,"36.62","37.41","36.42","37.31","57,367"
06/23/2021,"37.01","37.01","36.37","36.48","129,016"
06/22/2021,"37.25","37.57","36.83","36.89","110,018"
06/21/2021,"37.34","37.48","36.91","37.40","77,152"
06/18/2021,"37.23","37.25","36.77","37.00","139,593"
06/17/2021,"38.10","38.41","37.54","37.68","68,299"
